,Cycle,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12
,1,-41.1339213611977,-31.1614703608893,-34.4867213066223,-50.8950716500153,-69.2909405506216,-97.3882648553358,-47.059452753459,-70.9983438081322,-120.574414806596,-94.0638681992509,14.9903257005481,15.4113719759152,18.466703260025,4.35145936113349,-14.2210478885436,-2.77418697311805,-10.971121165509,-14.090782605605,-18.6683164664519,-14.1850024783116,-10.9574803982632,0.0308539604793623,4.84033629297574,14.9407675726961,-3.30832956106451,-5.51067270089561,5.06539592730633,-10.7126564176688,-2.02943933869346,-9.35237422668251,1.05979727362956,-8.97543173070471,1.74523469824089,-2.94768331950399,9.16468043701707,21.8098833705944,-0.388253071633699,-26.6691407347398,-29.8507445249693,-11.8280090738599,-74.7090611723338,-67.5431409759822,-90.2146919103325,-58.9213535187387,-53.4435591882921,-30.0983216637346,-32.9440373628736,-12.6951289851713,-9.13429082809216,-5.44427116297265,-9.78552132692857,-3.62208018287311,-45.2878940379856,-69.4140273219082,-65.0290299971921,-82.4657744295537,-53.3007508221094,-84.0796468805852,-17.8824377436949,56.5039689604387,-7.25314731532762,-4.52801616966917,-27.4787370941849,-14.3250330144751,-40.9083711925846,-33.5750891423486,-49.6883032824098,-40.7862761141027,-15.1444851197753,-7.82055386634374,-0.154624244174101,-25.4564394461645,-19.2657674283746,-41.1539968017087,-22.1775998110274,-37.3050327622218,-47.2121522397947,-48.9227570988337,-33.0376817677525,-6.39633048855103,-40.8470179210753,-86.5360315566954,-14.1630963999037,30.5341372504045,7.14652169911597,-5.13117456420468,-31.8589297334402,-22.5033089396024,-3.39356061638136,-5.15333385518579,-14.0254368364713,2.49023819645527,-16.4570774367362,17.4640823898708,-13.3670736505665,28.5846282643533
,2,-8.94790990755109,-24.7753996051201,-25.01569022586,-25.3555119873945,-58.7980126609882,-70.3945708942738,-36.0527000749616,-31.6556774282408,-43.6430239482388,-4.46245873897396,17.2982811455927,-7.0874633688295,14.833910220962,6.30809807125843,-3.56188666552816,7.29367047382493,-3.59795709115451,2.46406196235921,-1.34580937169403,-7.75916822134332,1.03265748024205,13.5787754482835,11.5859379811341,13.4700000895737,4.79658269159381,4.54228953029997,14.4588672447758,7.68747138423396,11.1040510676557,2.94391712653214,7.86156409849445,0.774642729449624,6.31039955415372,7.6297794902348,7.40558973970474,16.6298272528115,1.15143848512616,-13.6681788235101,-10.0520998153866,3.11244056311898,-44.5374417050357,-31.5279068595223,-58.6618442984486,-35.3359712765841,-30.2628561961778,-15.0696352148561,15.587351849691,16.4759212834015,7.83639067459626,0.201989170527213,-4.26699058301483,10.1718682052992,-30.1599622620256,-33.003586711056,-38.5977025246593,-46.2704122560526,-13.2030904025414,-49.004446393817,11.5842469040904,30.1707891473861,5.50777167884371,6.13357379595982,-0.309238760420612,0.372340641287337,-22.5049288680702,-11.7242115461281,-32.6197179236788,-24.1595757072723,11.5833948696259,15.8681837229897,33.5740980250785,33.8133164477335,12.4691593285984,-26.7193757009982,-11.1204510360621,-20.8681034150695,-22.0705773757604,-21.4286583250914,4.83583673855628,15.5621776624421,-28.5372942251324,-25.5362559188698,8.97173931553289,22.1796731688019,18.1567179328558,5.89435279795453,-1.8294569387258,-3.5932007193901,11.0240440214702,8.18885768415248,7.61239955801148,23.999376968578,16.4929249881825,34.3723322114429,28.8776988926074,13.565112688445
,3,8.37609685996267,8.24410448424214,0.744512458294139,4.7244324581502,-12.1415903135157,-20.6970044586724,-1.79017714096108,-9.01414223148959,-7.91212130329041,12.3651158858879,20.1369218917635,-1.90060898438378,18.6719648092972,13.1840925491583,5.49867340894889,5.10337381927548,3.3466710351895,4.42167881474052,0.328272239562466,0.43365810773912,13.6860355526001,8.83611548441786,14.444456061477,18.4323340473047,9.46387831805214,2.77193340593203,9.80723762446405,7.06085084154893,8.76000324176948,8.18771946072138,8.18927768808362,8.22915271989359,10.8282704763856,10.5225351681174,1.85268100743633,8.24803105244882,11.9631111984859,3.14972240113502,5.11226530653994,9.64582290746648,-15.0192892172149,-11.7532505334516,-12.4884968514825,2.10871149756667,-4.84376176516071,6.95775639668409,14.4672722881401,13.3848233380618,6.18683608930087,8.83795696255584,15.6890932757588,15.0462383945401,0.101736727176558,-5.35436406150211,-3.6703722204993,-12.7510056839028,15.5321678731784,-2.12076586637249,6.98669217834504,17.460254662536,15.1577106732534,10.582310686837,5.23030964036798,9.89505090969487,2.58149541806552,-0.200326923599278,2.47356992432196,8.98182682181596,13.7377056258083,19.5832892783124,9.9618286956802,30.9581757994602,23.1387397877174,10.7604736445783,11.3234845272295,6.95573826102191,4.35062919612164,15.9693230326557,13.3898246226508,30.6111481841699,2.29814117766045,10.022133983764,18.4307657481668,24.8196863389021,17.1575283146462,11.732259429255,9.33141641894781,2.70346225665344,14.5511453528629,20.23421692681,16.4938608924349,16.1368293392525,21.1235512559938,25.8910297682096,36.5066683907262,16.452410131667
,4,17.2380337708473,16.7126036442151,22.733669450085,26.2611183678118,13.2752704839559,15.3978699693334,18.9100757742194,18.4392154095467,17.0294610435276,18.1016060070224,24.5405599242636,3.20827468579591,17.8577312466377,14.3840049135574,14.1782629748241,14.718270904189,13.2758884462937,12.0975024006716,14.712339095121,7.46925198430154,19.8848948375107,19.0651633061429,21.1025825628758,23.039299616175,14.9459443505671,30.746311616921,20.1273228842615,16.2654725512284,22.1098201321593,14.2733859580612,16.1272243244302,11.9910526459835,18.869213578876,16.7551878547683,17.1999572138343,16.2831620523657,20.4489066511264,21.5316591264018,10.7875359510313,17.2708026157738,17.5235510540315,13.6482524589846,25.2077609354051,18.0640691765766,15.0829878108962,16.616860403863,12.9665120074096,13.9604687884157,17.0645988171627,17.2510218877701,28.7192714530706,24.5345651740672,23.2927262320136,19.7713251932182,18.4285300311144,20.2958983179087,20.6734249036763,19.7505567008861,17.8084223141645,15.3711404288028,19.8539625313451,15.5443996436206,16.6192868207409,19.8660157736008,16.0878428106612,15.4661228039904,19.9415447916872,19.0955043586341,13.1586148231372,24.0341754540059,17.1719745338114,27.2755622715586,27.0541049141657,17.4981986169978,23.6472491970198,25.4483595776364,15.6438400751817,32.1538451571514,27.2682431967346,23.1988661473315,18.5838564574215,14.272852549077,15.6124727720376,16.5629531364825,25.0316102435609,11.8658047019821,13.540518732676,7.44952924757035,13.13623839191,21.2791646821333,16.226941618113,15.0709213332666,30.1452646391308,24.5214743213296,26.6163507467586,17.3164957578347
,5,11.8140423331447,21.2533240269463,23.0662482453813,21.5388318811997,25.1966618664942,27.0476932898687,19.3715133742735,19.9233864196676,21.8896388951139,13.1281861588841,21.9543497822433,12.5517094946676,13.2880366563445,9.86942606933962,15.4484857573475,23.1255982136058,16.4394622374834,16.1758116225587,14.8654036912185,14.6663411877944,15.3754623035688,17.9936191416541,15.4482422815918,11.7471418098194,14.57006055585,21.5008799212592,20.4875871368058,20.7035561800562,21.9904156174744,10.4248592493191,18.2848143336309,15.9135268855921,13.5206404199535,18.5869539633518,16.9482670767211,14.7271889341946,15.4794660368188,18.9001853342706,21.2242301493648,20.0751473903069,22.8886249930988,24.449513375007,29.2586373535951,21.9821614335506,13.7715564024584,17.3028988430483,16.1081151230051,7.24564288771262,15.9985233127281,12.7070062268317,23.2464362682417,26.2981415951513,24.2745615813847,27.9046335761454,13.1782651669705,23.3640879304799,25.8311797329834,18.2425969096416,11.7038818996125,13.2055738092886,19.7163949703181,18.6167332374871,14.0924268814351,25.7657149591018,16.9800386161542,22.9192923261126,11.9667906137697,21.2336437205076,18.9576498855695,17.0145859951449,13.8830214813183,26.2635563670583,16.4870734750716,21.4139332987638,25.6176426108414,27.1596598911574,14.519171996863,20.896119795395,18.3442585558555,20.4024363480721,15.720235787383,9.40383502752229,17.7535933377499,5.46982030377376,17.1887536052463,13.0289127123388,14.229580291315,18.1143558570557,7.0197785416176,18.0286831338594,14.4124641988528,13.6263136854454,21.385563356906,15.4793558462397,21.1578544894296,7.98323745125754
,6,10.7817983995765,9.15547416152276,8.19095578457109,6.7504751209899,7.49208783880704,16.7615750949672,4.19123170253897,13.77094558917,7.87520329636982,1.50394797446188,10.2345594288026,8.59305004964608,7.6147377542743,17.6853047458712,2.84134874361234,3.683343753803,2.70136237336737,8.43918235271667,3.25639297692442,3.85821835918523,5.41347332122587,5.84355042397874,2.30358357797968,10.9313191168617,10.5812344206238,6.68351675463055,5.99690751107255,10.8160589708418,4.26105439272169,4.69850716207702,6.53850360749266,4.02749798060358,6.35811843444026,6.54104828159825,6.18185427720937,2.76374487236126,13.2452721026125,7.91195299304127,10.2638855078576,8.9488061652487,10.9037324531701,9.89760557413592,8.25789204181592,8.64368136020357,8.19057932951682,1.59805826186584,0.56033583425824,2.67254332750781,4.07643370271308,4.83970052879113,4.34147970989488,10.1611601677878,3.56942536859515,15.2064590451787,5.68102631961301,7.75555152812967,11.4181267977992,6.53449761204911,3.11532744709848,5.04795884586838,9.42024505268409,9.7571445980011,2.13016747798383,9.54616806466674,8.054926204396,9.10699479115556,13.4825441135463,7.77106294347186,6.00157839125131,5.15933643303333,1.42043122168388,4.61631455735505,3.62216746654349,11.5018602707923,10.8693177642067,7.06594975956159,6.03485627351529,5.65555376231669,4.03277533894834,-0.649839385081577,6.75932497797658,3.70838657633749,1.83498687258816,8.07325087416439,3.00019213098312,9.84264092670173,8.41329399183905,7.89489799820421,3.31023966237262,7.07730574010657,5.86895197258764,3.69187079875883,-0.727652968369966,3.5198747208492,7.55039278597451,0.989992347568659
,7,5.27170866249526,8.48439652342313,-1.06648313738197,-1.84277890326939,3.60713276890056,6.03431956195072,-0.270025153578445,1.01307067711878,9.33711675065433,-1.39980003008077,-1.71778579169495,14.1705996382611,4.40399455830675,3.39758348200985,3.6962006037179,3.30358374995922,2.50517631284947,1.49475955263915,-0.606722908380107,3.89845995136602,2.85467633665121,8.8652908141662,6.56636870917964,5.16451562077054,2.59956440977157,-0.229754627034254,1.05337860284089,7.67477984661673,14.2152350372407,6.82302082099159,1.63133122481486,4.90659817060987,4.30044859176542,0.307864815195444,11.2071355443441,6.35272911169204,4.67929495837416,4.51102304555252,4.75001905010504,2.82023993746861,10.5695024074821,10.9907997477571,7.03147223859696,-1.14185213980636,1.08809137799699,1.40866369252763,-6.15045816382144,3.92802019898363,1.35966405320687,3.94237557941915,-0.350550240675148,-3.32910367631985,1.50728074920016,6.83739497215129,6.57531208288765,1.98455012925388,1.23047888817428,-3.07786545265662,2.40493964164989,-4.93213406825862,1.25799868271042,5.15916426283366,-0.522903438297362,6.14546146222438,8.71610228773125,10.2446993487119,5.94715240877304,5.31594226943071,3.43422113936003,2.08816757850946,-0.351055199421353,-5.32817198920611,0.592878973820916,5.5518543660005,4.40673642952106,4.76054023875167,6.03374081071752,1.0677013899458,1.01661554543398,-3.6113531533988,1.32668899420696,-1.7061111974831,-5.1674419001929,-9.11246513914193,-4.24572218341336,9.07921774569513,-3.98192566405351,5.36847330207866,4.12588606159534,-2.14687094041938,-1.63063488525449,3.10700694454908,-0.346194454316901,-1.37709752904084,-2.66117285429254,0.495165062350225
,8,1.31267995334747,4.94605420870175,1.39788832433896,-7.54555724377497,2.71846527077105,8.73692274404766,-5.12856532747492,-4.93767939225336,-1.00571364387497,-9.61548816432196,-7.79462662748028,5.52506768925832,-7.71843773385262,2.71202909574822,3.24935606540339,-1.8222079241782,-0.689175786638316,-3.42611623180665,3.650683472933,7.11678145405358,-1.50555321891943,1.52865574449152,-0.240614027109586,1.90684517363525,1.05784212353365,-2.5704743742167,-3.72177976406374,0.589088030230869,4.13757161430976,-1.01580253597831,-0.0438942843061341,3.54969276013844,-4.96156785488938,-3.49425263911553,-4.66884627269883,0.397634294236923,-3.90099799294649,1.38426944248567,3.84797042093396,1.37055543316228,4.31904253957327,3.14516105526627,3.67378829103745,-1.30687049925427,3.76466370579283,-1.83088749912758,-5.25178837772364,-3.28276605496148,1.34856621658082,-3.56715599498057,-7.8300226533056,-6.9505453367583,0.363606823366354,0.503676257745155,1.90794147257566,-4.77396873164844,-3.35997704420015,-6.86792723207554,-2.11898535385535,-12.0747268760338,-5.19750767159167,3.33390548761554,-4.35918188552068,3.36159319016087,0.412380266433047,-0.067882325395658,-3.58874994211828,-6.02707562953901,-1.25119687132337,-6.63531298906537,-12.8624645861373,-9.20035330274504,-11.2833140079924,-6.72165137271304,-4.21298422664222,-2.92165399021405,-5.89083480314639,-10.0934657681719,-1.00113418493947,-10.0315527852326,-8.99699008257267,-0.746630652728982,-1.47050417624905,-9.98790535880244,-7.07662371664082,1.15122364855279,-1.10715821409713,-2.23274542969693,1.03616097001623,-6.91755289565572,0.974390729225433,-1.0662427221996,-5.39543693045107,-8.47017609490013,-10.309852252436,-6.83459559734774
,9,0.179756935974183,0.306268655322128,3.20792109221611,0.672644678387314,7.61391480106658,8.67059032998122,4.59301102794097,0.155361122757768,3.49364278568646,-2.29192092079302,-8.03443488479525,2.85031432037931,-3.03102529309353,-0.298602426089928,3.07924305527013,4.94854446257659,3.34722799264864,1.8793282368606,6.10959986888065,6.89317908640396,7.43730090858753,1.50045269290513,3.73221761494051,-1.02110571391313,1.18659466806002,0.847151743492759,3.04485989819068,4.36279014858928,5.14086354557503,0.701603361064372,7.63946834919943,5.75615863180838,3.46990209165551,0.959427904459972,2.80112604524902,-4.57026197350478,-3.09498274953194,2.7677269795181,11.5042851628086,6.86160393035289,5.41824899156609,10.9430632639505,-0.759230766037945,9.11093479845522,8.46608433037454,0.371706438023921,2.03751032850687,-4.44453201040096,-3.16910861268843,3.65830359821257,-1.5207651977521,-0.43692432229318,0.115215974082275,6.96256158230881,6.52229883141899,3.02079159135064,3.13297983920302,4.44565254611007,2.10030068741116,-0.485037340327835,0.0471587668048414,-1.25060445324107,4.52724990269189,-1.48451219962089,-2.02891365043115,2.1740192144639,-0.187148338778115,-2.48861073345233,5.1586750264205,5.16012848014952,-1.69897675160109,-17.5924459282774,-12.8007985573563,0.997309078882154,-4.74678788002802,-3.63474559739143,0.877775868513709,-4.54559164876173,-3.51657976914748,-10.4286527072363,7.21962319591194,1.05520096699502,-1.09821854984602,-1.73836372943742,-6.75048896453927,3.4364858856984,-1.1484264719661,1.99685351821063,3.99463498117211,-2.44493157137185,-2.85710421702925,-2.59649917199022,-6.26143987591422,-0.103477047337492,-15.8011926399022,-9.90477816186512
,10,-10.1184474154902,-11.6079716251643,-13.0079797332323,-14.4586022125741,-5.62139252493489,-4.4687305991888,-10.4295080299285,-5.4705587515823,-7.85282308322439,-17.6221205697047,-20.3207149723403,-1.59492386747252,-10.082442781234,-8.79454620137312,-11.0662866246012,-7.96192731264227,-4.69878089342456,-8.22388817825049,-1.35890715967071,-3.65134820499088,-12.9085762952309,-5.62916320147178,-6.56057009574715,-14.8619910320426,-5.70806264437215,-9.86937803978708,-5.51814429984734,-14.6740637188673,-11.8005519499984,-8.87563177534912,-3.5025580034544,-2.08347461229732,-11.4201559813887,-14.0963892828158,-7.16316261480051,-6.22981863209679,-8.97027350865847,-5.53960740787306,-6.56641208316341,-5.27665995710777,-6.02720498531471,-6.4088950929513,-13.0193834508514,-11.5100650264912,-12.4934204265305,-9.36547266271737,-18.2951903109338,-14.5115199395232,-9.75390282475064,-13.4361824787661,-15.0106329569171,-11.9082410404117,-8.44502172055354,-7.18237355347947,-5.74601154678703,-12.6925922748924,-16.3278846398994,-8.06361225058981,-11.9423833531682,-10.4049388061853,-13.1269818428445,-6.89076721151514,-9.59067426064939,-14.1958551057273,-7.65463567375264,-12.9257339754781,-12.4337455370951,-17.5805635990514,-9.76941460332591,-15.1072623466844,-16.3571972532886,-29.2374068904251,-17.8459247521641,-15.4336344731842,-16.4724701479076,-16.8420432901671,-9.86832216559424,-13.7526041466181,-15.4497724547105,-20.6765645346595,-10.8765274472094,-7.00687920487735,-15.5704015382271,-19.8368065858026,-12.5539662680681,-10.6977637935588,-10.6045975324014,-9.45737446775865,-6.91838665498153,-16.5508171698425,-15.1597660464927,-15.252121040447,-20.4749109396621,-22.0263770894485,-23.5198817469122,-11.3378142489364
