Gender,Height_cm,US_born,Poverty,Weight_kg,Age_yr
Male,132,TRUE,FALSE,26.1,8
Female,166.6,TRUE,FALSE,91.3,38
Male,174.5,TRUE,TRUE,76.7,28
Female,160.4,TRUE,FALSE,82.2,38
Male,171.3,FALSE,TRUE,80.3,19
Female,165.4,TRUE,FALSE,65.7,71
Female,150.7,TRUE,FALSE,49.9,19
Female,167.1,TRUE,FALSE,106,23
Female,162.1,TRUE,FALSE,58.7,43
Male,122,TRUE,TRUE,27.9,7
Female,100.7,TRUE,FALSE,14.8,3
Male,168.9,TRUE,FALSE,79.2,80
Female,155.6,TRUE,FALSE,43.1,11
Female,164,FALSE,FALSE,55.6,16
Male,189.3,TRUE,FALSE,91.6,36
Female,143,FALSE,FALSE,55.4,54
Male,186.8,TRUE,FALSE,66,17
Male,127.3,TRUE,TRUE,30.4,7
Female,151.3,TRUE,TRUE,58,11
Female,157.6,TRUE,FALSE,64.2,44
Female,108.8,TRUE,FALSE,18.9,4
Female,158.5,FALSE,FALSE,45.9,37
Male,163.2,TRUE,FALSE,57.8,80
Male,166.7,FALSE,FALSE,76.2,50
Female,156.8,FALSE,TRUE,54.2,80
Female,125.3,FALSE,FALSE,25.1,8
Male,168.4,TRUE,FALSE,51.8,21
Male,181.4,FALSE,FALSE,61.1,32
Female,158.3,FALSE,FALSE,76.2,55
Female,168,TRUE,TRUE,65.3,31
Male,184.5,FALSE,TRUE,130.5,24
Male,116.5,TRUE,TRUE,25.6,6
Female,162.1,TRUE,FALSE,64.8,78
Female,150.9,FALSE,FALSE,75.5,68
Male,175.7,FALSE,FALSE,62.5,40
Male,172,TRUE,FALSE,110.9,16
Male,139.5,TRUE,TRUE,39.6,21
Male,184.1,TRUE,FALSE,90.6,23
Male,172.9,TRUE,FALSE,91.1,40
Male,174.9,TRUE,FALSE,117.6,35
Male,180.5,TRUE,FALSE,79.9,23
Female,163.6,TRUE,FALSE,102.8,69
Female,153.5,TRUE,FALSE,48,16
Female,166.9,FALSE,FALSE,52,25
Female,149.5,TRUE,FALSE,56.2,40
Male,170.5,TRUE,FALSE,78.9,20
Male,149,TRUE,TRUE,52,10
Male,135.5,TRUE,TRUE,26.8,9
Female,155.8,FALSE,FALSE,74.6,53
Female,166.4,TRUE,FALSE,100.4,31
Female,167.6,TRUE,FALSE,66.7,15
Male,168.8,FALSE,FALSE,66.3,48
Male,175.1,TRUE,FALSE,80.1,44
Male,100,TRUE,TRUE,16.7,5
Female,147.8,TRUE,FALSE,30.6,10
Male,181.1,TRUE,FALSE,97.9,49
Female,159.4,TRUE,FALSE,77.6,80
Male,111.5,TRUE,TRUE,18.2,5
Female,159.7,TRUE,FALSE,67.2,51
Male,178.4,FALSE,FALSE,72.2,16
Male,165.1,TRUE,FALSE,109,65
Male,160.7,TRUE,TRUE,42.6,58
Female,169,TRUE,FALSE,76.4,27
Female,147.1,TRUE,FALSE,76,19
Female,152.2,TRUE,FALSE,73.2,26
Male,172.6,TRUE,FALSE,70.1,80
Male,175.2,TRUE,TRUE,81.3,80
Male,166.2,TRUE,TRUE,67.7,23
Female,157.5,TRUE,FALSE,71.9,72
Male,172.6,FALSE,TRUE,90.6,20
Female,172.4,FALSE,FALSE,66.1,30
Male,140.7,TRUE,FALSE,42.1,9
Male,181,TRUE,TRUE,56.7,15
Female,147,TRUE,FALSE,37.2,12
Male,173.1,TRUE,FALSE,111.7,47
Male,178.8,TRUE,FALSE,121.3,27
Male,167.5,TRUE,TRUE,53.1,54
Female,158.1,TRUE,FALSE,58.4,38
Female,161.5,TRUE,FALSE,88.6,61
Male,105.2,TRUE,TRUE,17.7,4
Male,163.1,FALSE,TRUE,72.3,39
Male,176.8,TRUE,FALSE,103,75
Male,178.9,FALSE,FALSE,96.8,22
Male,169.7,FALSE,TRUE,69.2,68
Female,112.4,TRUE,FALSE,20.9,4
Female,169.3,TRUE,TRUE,96.4,23
Female,173.6,TRUE,FALSE,117.9,42
Female,102.9,TRUE,TRUE,17.6,4
Female,159.3,TRUE,FALSE,50.4,19
Male,171.8,FALSE,FALSE,83.5,13
Female,160.7,FALSE,FALSE,68.2,38
Male,169,TRUE,FALSE,80.4,57
Male,163.3,FALSE,TRUE,88.4,39
Female,99.2,TRUE,FALSE,15.6,2
Female,156.5,FALSE,FALSE,90.1,64
Male,162.6,TRUE,FALSE,129.4,18
Male,179.8,TRUE,FALSE,93.9,17
Male,168.2,FALSE,FALSE,72.8,69
Male,188.1,TRUE,FALSE,77.5,41
Female,150.2,TRUE,FALSE,79.6,29
Female,157.3,TRUE,FALSE,54.5,11
Male,130,TRUE,TRUE,28.3,7
Male,173.9,TRUE,FALSE,85.3,32
Female,148.2,TRUE,FALSE,61.1,44
Male,103.9,TRUE,FALSE,16.1,4
Male,182.4,TRUE,FALSE,85.3,65
Male,135.3,TRUE,TRUE,33.8,9
Male,106.6,TRUE,TRUE,20,4
Male,178.2,TRUE,FALSE,96.2,31
Female,150.9,TRUE,FALSE,78.1,17
Female,154,TRUE,FALSE,133.5,71
Male,171,TRUE,TRUE,75.3,22
Male,171.5,TRUE,FALSE,75.8,40
Male,150.5,TRUE,FALSE,48.2,11
Male,110.8,TRUE,TRUE,24.1,5
Female,158,FALSE,FALSE,70.2,36
Male,173.1,TRUE,FALSE,85.3,43
Female,170.5,TRUE,FALSE,80.5,39
Female,166.1,TRUE,FALSE,73.2,32
Male,141.8,TRUE,TRUE,47.9,11
Female,163.7,TRUE,FALSE,126.5,42
Male,178.5,TRUE,TRUE,106.1,21
Male,159.1,FALSE,FALSE,64.6,65
Female,151.7,FALSE,FALSE,64,61
Male,116.9,TRUE,FALSE,19.4,6
Male,171.7,FALSE,FALSE,79,28
Male,164.2,TRUE,FALSE,77.1,44
Male,106.9,TRUE,TRUE,23.8,4
Male,152.8,TRUE,FALSE,37.3,12
Female,156.2,TRUE,FALSE,59.4,13
Female,157.2,TRUE,FALSE,63.3,30
Male,180.4,TRUE,TRUE,118.8,35
Male,105.3,TRUE,TRUE,18,5
Female,157.5,FALSE,TRUE,96.5,30
Female,159.8,FALSE,TRUE,72.5,46
Female,158,TRUE,TRUE,71.5,17
Male,95.3,TRUE,FALSE,15.5,3
Female,158.3,TRUE,FALSE,60.4,60
Female,165.6,TRUE,FALSE,81.6,80
Male,130.9,TRUE,TRUE,31.7,9
Male,181.3,FALSE,FALSE,62.9,39
Female,154.5,FALSE,TRUE,63.7,46
Male,173.8,TRUE,FALSE,101.5,44
Female,154.3,FALSE,TRUE,75.2,42
Male,153.3,TRUE,FALSE,45.8,10
Male,171.7,TRUE,TRUE,76.2,56
Female,160.5,TRUE,FALSE,59.4,59
Male,171,TRUE,FALSE,91.1,54
Male,172.2,FALSE,TRUE,89.4,33
Male,174,TRUE,FALSE,72.8,23
Male,176.8,FALSE,TRUE,92.3,15
Female,155.8,TRUE,TRUE,88.1,51
Female,161.7,TRUE,TRUE,87.1,52
Male,163,TRUE,TRUE,67.1,13
Female,118.9,TRUE,FALSE,21.4,5
Male,180.6,FALSE,FALSE,89.7,46
Female,144.7,TRUE,FALSE,47,10
Male,174.5,TRUE,TRUE,97.2,60
Female,155.8,TRUE,FALSE,54.9,13
Female,136,TRUE,TRUE,36.3,11
Male,169.3,TRUE,FALSE,73.3,42
Male,135.2,TRUE,FALSE,29.6,8
Male,179.9,TRUE,FALSE,118.2,64
Male,144.2,TRUE,TRUE,59.8,9
Male,164.6,FALSE,FALSE,92.7,57
Male,174.9,FALSE,FALSE,65.9,53
Female,137.7,TRUE,FALSE,35.8,9
Female,175.3,TRUE,FALSE,148.2,37
Female,160.8,TRUE,FALSE,58.2,41
Male,130.6,TRUE,FALSE,27,8
Female,163.1,TRUE,FALSE,49.3,15
Male,190.5,TRUE,FALSE,73.3,35
Female,152.6,FALSE,FALSE,52.2,31
Male,141.5,TRUE,TRUE,35.7,10
Female,161.1,TRUE,FALSE,99.2,49
Female,135.5,TRUE,TRUE,30.6,9
Female,142.4,TRUE,FALSE,36.1,10
Male,111.7,TRUE,TRUE,20.6,4
Female,169.1,TRUE,TRUE,122.2,13
Male,180.3,FALSE,FALSE,103,23
Female,92.8,TRUE,TRUE,15,2
Female,146.4,TRUE,FALSE,60,80
Male,120.3,TRUE,TRUE,24.7,6
Female,177.1,TRUE,FALSE,87.2,32
Female,154.7,TRUE,FALSE,48.6,80
Female,165.3,TRUE,FALSE,80.8,48
Female,158.8,TRUE,FALSE,78.2,13
Male,171.1,FALSE,FALSE,107,66
Female,162.5,TRUE,FALSE,94.1,71
Female,116.6,TRUE,FALSE,34,6
Male,166.7,FALSE,FALSE,66,78
Female,166.2,TRUE,TRUE,49.2,14
Female,142.3,TRUE,FALSE,34.5,10
Male,181.9,TRUE,FALSE,76.8,22
Female,155.3,TRUE,TRUE,82.8,80
Male,171.3,TRUE,FALSE,117.6,70
Male,175.1,TRUE,FALSE,75.9,73
Male,187.6,TRUE,TRUE,73,21
Female,156.4,TRUE,FALSE,60.6,75
Male,150.2,TRUE,FALSE,36,11
Male,148.6,TRUE,FALSE,35.7,10
Female,168.6,TRUE,FALSE,98.2,72
Female,163.1,FALSE,FALSE,63.3,28
Female,152.9,FALSE,TRUE,75.9,52
Female,159,TRUE,TRUE,127.6,60
